data,moeda,close,media_movel_200
2024-11-26,ETH/USDT,3324.73,2967.8977999999997
2024-11-27,ETH/USDT,3653.28,2971.60195
2024-11-28,ETH/USDT,3578.79,2974.84945
2024-11-29,ETH/USDT,3592.21,2978.05555
2024-11-30,ETH/USDT,3703.6,2982.1638999999996
2024-12-01,ETH/USDT,3707.61,2985.5392000000006
2024-12-02,ETH/USDT,3643.42,2989.0327999999995
2024-12-03,ETH/USDT,3614.51,2991.6452999999997
2024-12-04,ETH/USDT,3837.8,2995.2196000000004
2024-12-05,ETH/USDT,3785.2,2998.78965
2024-12-06,ETH/USDT,3998.87,3000.4751
2024-12-07,ETH/USDT,3996.22,3001.5082
2024-12-08,ETH/USDT,4004.15,3002.8403
2024-12-09,ETH/USDT,3712.0,3002.4822499999996
2024-12-10,ETH/USDT,3628.25,3001.9821
2024-12-11,ETH/USDT,3831.81,3002.3948500000006
2024-12-12,ETH/USDT,3881.61,3002.67055
2024-12-13,ETH/USDT,3906.8,3002.7334499999997
2024-12-14,ETH/USDT,3870.29,3002.8614500000003
2024-12-15,ETH/USDT,3959.09,3003.8197499999997
2024-12-16,ETH/USDT,3986.24,3005.0113999999994
2024-12-17,ETH/USDT,3893.01,3005.665
2024-12-18,ETH/USDT,3626.8,3004.7199
2024-12-19,ETH/USDT,3417.01,3002.9004000000004
2024-12-20,ETH/USDT,3472.21,3001.42615
2024-12-21,ETH/USDT,3338.92,2999.0696000000003
2024-12-22,ETH/USDT,3281.83,2996.1488
2024-12-23,ETH/USDT,3422.53,2994.19415
2024-12-24,ETH/USDT,3493.18,2993.2684500000005
2024-12-25,ETH/USDT,3497.0,2992.3456000000006
2024-12-26,ETH/USDT,3335.05,2990.48885
2024-12-27,ETH/USDT,3333.51,2988.8171500000003
2024-12-28,ETH/USDT,3404.0,2988.3505
2024-12-29,ETH/USDT,3356.48,2987.3323
2024-12-30,ETH/USDT,3361.84,2986.7944999999995
2024-12-31,ETH/USDT,3337.78,2986.0744
